net,length_um
_161_,1401.18
_160_,1364.7
_027_,1274.12
_127_,1265.46
_095_,1262.2
one_second_counter\[17\],1219.1
decoder.digit\[0\],1154.14
_159_,1136.81
_075_,1097.48
one_second_counter\[0\],1090.54
one_second_counter\[18\],1057.52
_085_,1042.22
one_second_counter\[1\],1026.34
_136_,1026.075
_114_,1020.835
_119_,1009.98
_150_,1006.96
one_second_enable,1006.855
decoder.digit\[3\],976.48
decoder.digit\[1\],950.44
one_second_counter\[16\],947.175
one_second_counter\[4\],921.26
decoder.digit\[2\],899.94
_155_,887.61
net1,871.32
one_second_counter\[12\],838.8
_143_,828.63
net2,826.2
_135_,807.32
one_second_counter\[2\],785.18
one_second_counter\[5\],781.58
one_second_counter\[7\],760.62
_121_,718.46
_057_,712.86
_007_,706.02
_122_,697.68
one_second_counter\[20\],690.96
_123_,689.5
one_second_counter\[3\],685.44
_148_,671.76
_077_,663.54
one_second_counter\[15\],655.04
_081_,654.56
_100_,654.22
_067_,652.72
one_second_counter\[19\],649.26
one_second_counter\[13\],646.16
one_second_counter\[25\],633.76
_028_,630.33
_058_,624.18
clknet_2_1__leaf_clk,617.66
net5,611.72
_014_,610.44
one_second_counter\[14\],605.04
one_second_counter\[6\],599.9
_088_,599.22
_140_,596.43
net8,589.76
_111_,588.22
one_second_counter\[10\],586.16
_128_,582.68
_092_,569.4
clknet_0_clk,568.52
_112_,567.76
_134_,567.64
clknet_2_2__leaf_clk,555.68
_156_,553.48
_096_,549.4
one_second_counter\[24\],549.12
one_second_counter\[22\],547.84
_098_,547.64
_010_,545.64
one_second_counter\[9\],543.685
_116_,542.12
one_second_counter\[8\],536.42
_041_,535.57
_064_,530.78
_152_,519.72
clknet_2_0__leaf_clk,515.82
_008_,505.32
_102_,501.96
_066_,501.92
_052_,496.76
_086_,492.75
_065_,491.24
one_second_counter\[26\],489.275
_024_,489.26
_045_,483.69
_084_,482.3
_137_,480.4
_104_,478.3
_109_,474.38
_124_,471.48
_054_,470.73
_006_,469.49
one_second_counter\[21\],465.68
clknet_2_3__leaf_clk,464.76
_044_,460.33
_032_,454.56
_129_,454.24
_021_,452.08
_125_,451.54
_031_,433.91
one_second_counter\[23\],429
_076_,422.84
_145_,412.56
_080_,410.7
_003_,407.705
_030_,404.88
_068_,402.74
_079_,402.22
_002_,400.56
_073_,399.42
_144_,393.98
_132_,392.7
_120_,386.7
_118_,386.58
_060_,376.22
_153_,371.9
_026_,368.14
net7,368.14
_037_,364.61
_151_,362.94
clk,362.6
_078_,361.98
_033_,360.58
one_second_counter\[11\],358.4
_047_,357.04
net3,351.52
_053_,350.1
_055_,344.62
_110_,342
_087_,334.24
_113_,332.42
net4,329.38
_142_,326.56
_034_,322.96
_022_,317.4
_083_,317.32
_117_,312.68
_091_,308.68
_072_,308.6
_130_,303.2
_147_,301.68
_062_,295.2
_048_,291.39
_029_,288.45
_074_,288.08
_018_,283.02
_038_,281.93
_093_,281.245
_099_,281.24
_090_,278.64
_094_,278.02
_035_,268.41
_049_,267.39
_103_,263.7
_158_,262.82
_059_,262.43
_046_,258.91
net6,257.98
_061_,255.98
_082_,255.64
_126_,252.68
_105_,250.62
_025_,248
_020_,247.5
_056_,246.07
_013_,245.065
_019_,236.84
_149_,230.36
_001_,229.54
_071_,227.76
_131_,224.41
_133_,222.4
_000_,218.46
_070_,217.26
_012_,210.14
_146_,207.12
_115_,206.34
_017_,204
_063_,203.18
_050_,201.12
_138_,196.98
_157_,191.82
_069_,189.68
_107_,189.04
_043_,186.7
_108_,180.46
_016_,166.24
_005_,154.4
_040_,152.69
_004_,139.84
_097_,137.36
_009_,128.685
_042_,119.12
_039_,118.71
_141_,107.78
_106_,98.8
_139_,96.4
_101_,78.12
_011_,73.36
_036_,71.09
_089_,69.52
_015_,65.04
_023_,38.76
_154_,34.58
_051_,25.81
rst,13.82
net16,9.42
net9,8.72
net11,8.04
net12,8.04
net13,8.04
net14,8.04
net15,8.04
net10,8.04
seg[0],5.29
seg[1],5.29
seg[2],5.29
seg[3],5.29
seg[4],5.29
seg[5],5.29
seg[6],5.29
